JobTitle,About,Skills,WhoCanApply,OtherReq,Salary
Corporate Sales Executive - Fresher,"Key responsibilities:

1. Attend and manage 15-30 inbound calls daily from US-based customers
2. Assist customers with flight, hotel, and cruise bookings
3. Understand customer requirements and provide suitable travel solutions","English Proficiency (Spoken)
MS-Office
Earn certifications in these skills
Learn Business Communication
Learn MS-Excel
Learn Digital Marketing
Learn Business Analytics
Learn Photography","Only those candidates can apply who:

1. are from Kolkata only","Convert inquiries into confirmed bookings

Deliver excellent customer service with a polite and professional tone

Follow internal processes and meet daily/weekly performance targets","Probation: 
Duration: 3 months
Salary during probation: ₹10,000 - 15,000 /month (only for freshers)
After probation:

Annual CTC: ₹ 7,00,000 - 12,50,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 1,00,000 - 2,50,000 /year

2. Variable pay: ₹ 6,00,000 - 10,00,000 /year

Perks
Informal dress code
5 days a week
Cab/Transportation facility
Health Insurance"
Video Editor,"Key responsibilities:

1. Bring marketing ideas and briefs to life by writing impactful scripts.
2. Design storyboards to visualize narratives and plan shoots; manage casting when required.
3. Execute end-to-end video production, including shooting, editing, post-production, color grading, and sound mixing for final release.
4. Collaborate closely with the social media team to brainstorm content ideas and support with scripting.
5. Shoot and produce high-quality product films that meet global standards.","Video Editing
Earn certifications in these skills
Learn Adobe Premiere Pro
Learn Video Editing
Learn Photography","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Able to translate a business/brand problem statement into a creative solution

2. Complete knowledge of production & relevant tools required for the same

3. 1-3 years of experience","Annual CTC: ₹ 7,00,000 - 8,00,000 /year

Perks
Informal dress code
5 days a week
Health Insurance"
Sales Executive,"Company: NYXify Technologies
Location: Remote (India) / Hybrid (Optional)
Type: Internship (6 Months) Full-time offer based on performance
Experience Required: Minimum 6 months of internship or prior sales experience
Compensation: Stipend during internship + Fixed Salary + Performance-based Incentives (on full-time)
Start Date: Immediate

About NYX:
NYXify Technologies is a digital-first company focused on helping brands and creators grow through AI-enabled marketing, influencer campaigns, and content innovation. We work with emerging startups, DTC brands, and creator-led businesses to drive impact through creative and performance-driven strategies.

We're looking for a Sales Executive with at least 1 year of experience to join our team and lead client acquisition efforts.

Role overview:
As a Sales Executive at NYX, you will be responsible for acquiring new clients, nurturing qualified leads, and building strong relationships with decision-makers in the digital space. This role demands ownership, hustle, and the ability to close high-quality deals.

Key responsibilities:

1. Identify and target prospective clients via LinkedIn, cold emails, DMs, and networking
2. Pitch NYX's services (influencer marketing, content production, UGC, and automation solutions) to startups, D2C brands, and creators
3. Own the full sales cycle - from lead generation to closing
4. Work closely with internal teams to customize proposals and pricing based on client needs
5. Maintain CRM and sales tracking tools to report progress and insights
6. Meet and exceed monthly and quarterly sales targets
7. Attend virtual meetings, presentations, and demo calls with prospects","Business Development
Client Relationship
Client Relationship Management (CRM)
Customer Acquisition
Digital Marketing
Effective Communication
Google Workspace
Influencer Marketing
LinkedIn Marketing
Negotiation
Notion
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Email Marketing
Learn Facebook Marketing
Learn Google AdWords
Learn MS-Excel
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing","Only those candidates can apply who:

1. have minimum 1 years of experience","Requirements:

1. 1–3 years of experience in sales, business development, or client acquisition (preferably in a digital, SaaS, or creative agency)

2. Strong communication, negotiation, and relationship-building skills

3. Proven ability to meet or exceed sales targets

4. Familiarity with the digital marketing or creator/influencer ecosystem

5. Comfortable using LinkedIn, Notion, CRM tools, and Google Workspace

6. Self-driven, goal-oriented, and capable of working independently in a fast-paced environment

What you’ll gain:

1. Competitive fixed","+ Performance-based Incentives (on full-time)
Start Date: Immediate

About NYX:
NYXify Technologies is a digital-first company focused on helping brands and creators grow through AI-enabled marketing, influencer campaigns, and content innovation. We work with emerging startups, DTC brands, and creator-led businesses to drive impact through creative and performance-driven strategies.

We're looking for a Sales Executive with at least 1 year of experience to join our team and lead client acquisition efforts.

Role overview:
As a Sales Executive at NYX, you will be responsible for acquiring new clients, nurturing qualified leads, and building strong relationships with decision-makers in the digital space. This role demands ownership, hustle, and the ability to close high-quality deals.

Key responsibilities:

1. Identify and target prospective clients via LinkedIn, cold emails, DMs, and networking
2. Pitch NYX's services (influencer marketing, content production, UGC, and automation solutions) to startups, D2C brands, and creators
3. Own the full sales cycle - from lead generation to closing
4. Work closely with internal teams to customize proposals and pricing based on client needs
5. Maintain CRM and sales tracking tools to report progress and insights
6. Meet and exceed monthly and quarterly sales targets
7. Attend virtual meetings, presentations, and demo calls with prospects
Skill(s) required
Business Development
Client Relationship
Client Relationship Management (CRM)
Customer Acquisition
Digital Marketing
Effective Communication
Google Workspace
Influencer Marketing
LinkedIn Marketing
Negotiation
Notion
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Email Marketing
Learn Facebook Marketing
Learn Google AdWords
Learn MS-Excel
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Other requirements

Requirements:

1. 1–3 years of experience in sales, business development, or client acquisition (preferably in a digital, SaaS, or creative agency)

2. Strong communication, negotiation, and relationship-building skills

3. Proven ability to meet or exceed sales targets

4. Familiarity with the digital marketing or creator/influencer ecosystem

5. Comfortable using LinkedIn, Notion, CRM tools, and Google Workspace

6. Self-driven, goal-oriented, and capable of working independently in a fast-paced environment

What you’ll gain:

1. Competitive fixed salary + uncapped performance incentives

2. Flexibility to work remotely with a high-growth startup team

3. Direct access to founders and creative teams for faster execution

4. Opportunity to build and lead your own client portfolio

5. Fast career progression and long-term leadership opportunities

Salary

Annual CTC: ₹ 6,00,000 /year"
Business Development Trainee - Fresher,"Key Responsibilities:

1. Willing to familiarize yourself with the company's vision and mission seeking to accomplish set goals and objectives
2. Collating and maintaining client information in the CRM database
3. Make calls to clients and respond to callback requests
4. Email & WhatsApp conversations with potential leads
5. Make potential leads understand our courses
6. Convert potential leads into customers
7. Learning & using our customer relations management software & other related computer software.",NULL,NULL,"1. Excellent written and verbal communication skills

2. Ability to work under pressure

3. Laptop is mandatory

4. Willing to work in a startup environment (fast-paced)

Note: No. of days working: 6 (Rotational off Mon–Fri & Sat and Sun compulsory working.","Annual CTC: ₹ 6,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,50,000 /year

2. Variable pay: ₹ 2,50,000 /year

Perks
5 days a week"
Executive - Zonal Office,"Key responsibilities:

1. Handle the panel initiatives of the state/zonal office and assist in the overall operations of the office including CII, Yi & IWN chapters of the state/zone
2. Identify opportunities/improvement areas for the key sectors in the state/zone through research and direct/indirect interactions with members & state/district administration
3. Provide secretarial assistance to all council-related activities including drafting agendas, minutes, follow-ups, and maintenance of records
4. Manage the promotional activities related to various events & maintain the MIS-related aspects
5. Maintain rapport with a wide cross-section of people in industry and government at appropriate levels","Effective Communication
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Coimbatore, Madurai, Visakhapatnam only",Minimum Graduation,"Annual CTC: ₹ 5,50,000 - 6,50,000 /year

Perks
5 days a week"
Customer Service Associate,"As a Customer Service Associate at SpotOnMedia, you will play a crucial role in ensuring our customers have a positive experience with our services. Your proficiency in MS-Office, MS-Excel, and both spoken and written English and Hindi will be essential in providing top-notch support to our clients.

Key responsibilities:

1. Respond to customer inquiries via phone, email, and chat in a professional and timely manner.
2. Assist customers with troubleshooting technical issues and provide solutions.
3. Maintain accurate records of customer interactions and transactions.
4. Collaborate with other team members to ensure customer satisfaction and retention.
5. Utilize MS-Office and MS-Excel to track and analyze customer data and trends.
6. Communicate clearly and effectively with customers in both English and Hindi.
7. Identify opportunities for process improvement and contribute to the overall success of the customer service team.

If you are a proactive and customer-oriented individual looking to join a dynamic team, apply now to be a part of SpotOnMedia's exciting journey!","Client Relationship
Client Relationship Management (CRM)
Customer Support
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel
MS-Office
Earn certifications in these skills
Learn Business Communication
Learn MS-Excel",NULL,NULL,"Annual CTC: ₹ 5,06,000 - 6,40,500 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,01,000 - 3,90,000 /year

2. Variable pay: ₹ 2,05,000 - 2,50,500 /year

Perks
5 days a week
Health Insurance
Life Insurance"
Corporate Sales Executive - Fresher,"Key responsibilities:

1. Talk to US clients (calls, emails, chats)
2. Show product demos
3. Keep records updated in CRM
4. Help the sales team with targets & leads",NULL,NULL,"1. Excellent English communication (spoken & written)

2. Ability to work under pressure

3. Laptop required

4. Ready to work night shift (US timings)

5. Comfortable in a fast-paced startup","Annual CTC: ₹ 4,60,000 - 4,80,000 /year

Perks
Free snacks & beverages"
Business Development Associate - US Market (Night Shift) - Fresher,"As a Business Development Associate (BDA) for the US team, you will play a pivotal role in expanding Bhanzu's presence in the US market. This entry-level position is ideal for recent graduates who are proactive, adaptable, and eager to learn about global business development in the EdTech sector.

Key Responsibilities:

1. Engage and nurture potential clients via calls, emails, and personalized messaging.
2. Conduct product demonstrations for prospective US clients and partners.
3. Maintain accurate records in CRM tools such as Salesforce or HubSpot.
4. Collaborate with the sales and marketing teams to execute strategies and achieve US-specific targets.
5. Gather and relay client feedback to internal teams for process improvement.
6. Monitor competitor activities and market trends within the US education sector.
7. Support outreach campaigns, webinars, and lead-generation initiatives.
8. Stay updated on EdTech trends and customer needs in the US market

What We Offer:

1. Competitive salary and performance-based incentives.
2. Comprehensive training and mentorship on US business practices.
3. Dynamic, inclusive, and supportive work environment.
4. Opportunities for rapid career growth and international exposure.

Why Join Bhanzu:

1. Be a part of a company shaping the future of education
2. Fast-paced learning with strong mentorship and collaboration
3. Competitive salary with attractive performance-based incentives
4. Opportunity to grow with a rapidly expanding product line",NULL,NULL,"1. Laptop is mandatory

2. Willing to work on the Night Shift (9 pm - 7 am)

3. 6 days working (including Sat and Sun)

What You Need:

1. Bachelor’s degree in any discipline (recent graduates encouraged to apply).

2. Excellent written and verbal communication skills, with a strong command of English.

3. Strong persuasion, negotiation, and relationship-building abilities.

4. High level of enthusiasm, self-motivation, and adaptability.

5. Ability to work independently and collaboratively within a global team.

6. Willingness to work in US time zones/shifts.

7. Prior exposure to US markets or international client communication is a plus.","and performance-based incentives.
2. Comprehensive training and mentorship on US business practices.
3. Dynamic, inclusive, and supportive work environment.
4. Opportunities for rapid career growth and international exposure.

Why Join Bhanzu:

1. Be a part of a company shaping the future of education
2. Fast-paced learning with strong mentorship and collaboration
3. Competitive salary with attractive performance-based incentives
4. Opportunity to grow with a rapidly expanding product line
Skill(s) required
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Interpersonal skills
Learn Networking
Other requirements

1. Laptop is mandatory

2. Willing to work on the Night Shift (9 pm - 7 am)

3. 6 days working (including Sat and Sun)

What You Need:

1. Bachelor’s degree in any discipline (recent graduates encouraged to apply).

2. Excellent written and verbal communication skills, with a strong command of English.

3. Strong persuasion, negotiation, and relationship-building abilities.

4. High level of enthusiasm, self-motivation, and adaptability.

5. Ability to work independently and collaboratively within a global team.

6. Willingness to work in US time zones/shifts.

7. Prior exposure to US markets or international client communication is a plus.

Salary

Annual CTC: ₹ 4,60,000 /year

Perks
Informal dress code
Free snacks & beverages"
Sales Executive,"Key responsibilities:

1. Make outbound calls to potential leads provided by the company.
2. Clearly explain the product/service features, benefits, and pricing.
3. Understand customer needs and provide tailored solutions.
4. Follow up with interested leads through calls, WhatsApp, or email until closure.
5. Achieve daily/weekly/monthly sales targets.
6. Maintain accurate records of conversations and sales in CRM or tracking sheets. 7. Ensure a positive customer experience from first contact to final sale.
.","Client Relationship
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience","Strong communication skills with the ability to understand and connect with customer needs.

Fluency in both Hindi and English for effective conversation and persuasion.

Basic computer proficiency for handling CRM, emails, and data entry.

A growth mindset with a passion for learning, performance, and continuous improvement.","Annual CTC: ₹ 4,50,000 - 6,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,50,000 - 4,00,000 /year

2. Variable pay: ₹ 1,00,000 - 2,00,000 /year

Perks
Health Insurance"
Operations Executive - Fresher,"As an Executive Assistant at Faff, you will be the backbone of our personal assistance service, transforming how people delegate their daily chores. This is a hands-on, operational role where you'll solve real-life problems for real people every day often in creative and unexpected ways. You'll be part of a high-trust, fast-moving team, working directly with the founding team of India's next big consumer-tech company.

Key responsibilities:

1. Coordinate service bookings, appointments, and follow-ups.
2. Call customer care teams and vendors on behalf of users.
3. Place orders, make comparisons, and chase down answers as required.
4. Take complete ownership of tasks end-to-end, ensuring execution and resolution.
5. Deliver a seamless, reliable, and delightful user experience making users feel they're in good hands.
6. Collaborate closely with the founders and team, incorporating training and feedback into daily execution.","Adaptability
Conflict Management
Coordination
Effective Communication
Problem Solving
Time Management
Earn certifications in these skills
Learn Effective Communication
Learn Problem Solving
Learn Business Communication","Only those candidates can apply who:

1. are from Bangalore only","1. Strong verbal communication – ability to interact confidently with people and get things done.

2. High attention to detail – precision in handling multiple tasks and follow-ups (mention the number 42 at the end of your application to show this).

3. High sincerity & ownership – proactive in meeting timelines and deadlines without needing constant supervision.

4. Experience – prior EA experience is a plus, but not mandatory; adjacent experience in fields like hospitality is also valued.

5. Early-career profile – less than 2 years of work experience, ideally a fresh graduate with high energy, adaptability, and eagerness to learn and grow.

6. Fresh Graduates

7. Customer service experience","Annual CTC: ₹ 4,20,000 - 6,80,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,80,000 /year

2. Variable pay: ₹ 60,000 - 2,00,000 /year

Perks
Informal dress code
Free snacks & beverages"
Associate - Campaign Execution & Helpdesk Support - Fresher,"Associate - Campaign Execution & Helpdesk Support
Location: Thane, India (During Training) | Work From Home (Post-Training)
Shift Timings: 6 PM to 3 AM IST

About the Role
Netcore Cloud is seeking a customer-facing, technically adept professional to join as a Campaign Execution & Helpdesk Support Engineer. This is a dual-role opportunity where you will execute digital campaigns and provide technical support for clients, ensuring seamless adoption and optimal use of our platforms.

Key Responsibilities:

A. Campaign Execution
1. Plan, set up, and execute campaigns (Email, SMS, Voice, Automation) on time.
2. Make primary HTML modifications when required.
3. Monitor campaign delivery and analyze performance reports with actionable insights.

B. Helpdesk Support
1. Provide first-level technical support through phone, email, and ticketing tools.
2. Handle and resolve tickets effectively, balancing campaign execution and support tasks.
3. Troubleshoot customer-reported issues related to platform usage, reports, or delivery.
4. Technical & Process Excellence
5. Perform root cause analysis on recurring issues and suggest sustainable fixes.
6. Leverage UI and backend knowledge for effective troubleshooting.
7. Recommend process improvements and product enhancements based on real customer feedback.

C. Customer Advocacy
Act as a trusted advisor and voice of the customer within internal teams.
Maintain high standards of professional communication.
Drive customer success by ensuring consistent quality, ROI, and satisfaction.

What We're Looking For

1. 0-1 years in a Support Team role (mandatory) with exposure to UI and backend systems.
2. Strong customer-facing experience in handling queries, escalations, and relationship management.
3. Hands-on experience with ticketing systems, ticket resolution, and customer handling skills.
4. 0-1 years of total experience in customer support, technical support, or campaign execution.
5. Strong technical knowledge: Linux troubleshooting (mandatory), SQL, DNS, HTML, CSS.
6. Proficiency in Microsoft Excel/OpenOffice Calc and PowerPoint for reporting.
7. Excellent written and spoken English communication skills.
8. Self-motivated, strategic thinker, collaborative, and quick learner.
9. Flexibility to work the evening/night shift (6 PM to 3 AM IST).

Why Join Us?

At Netcore Cloud, you'll work with innovative minds, partner with top global brands, and directly impact customer success. With a people-first culture, you will gain cross-functional exposure to campaign operations, helpdesk support, and customer engagement while accelerating your career growth.",NULL,NULL,NULL,"Annual CTC: ₹ 4,10,000 - 5,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 4,00,000 - 4,50,000 /year

2. Variable pay: ₹ 10,000 - 50,000 /year

Perks
5 days a week
Cab/Transportation facility
Health Insurance"
Field Executive,"Key responsibilities:

1. Conducting Daily Client Calls and in person meeting
2. Driving sales through consistent engagement and ownership
3. Managing and updating client interaction meetings via app","B2B Sales
Field Sales
Lead Generation
Sales
Sales Strategy
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Surat only","1. Min 60% marks in SSC, HSC, and Graduation

2. Bike & dl mandatory.

3. Age should be less than 29","Annual CTC: ₹ 4,08,000 - 7,32,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,32,000 /year

2. Variable pay: ₹ 48,000 - 3,00,000 /year

Perks
Health Insurance
Life Insurance"
Client Acquisition Executive,"Key responsibilities:

1. Conducting daily client calls and in-person meetings
2. Driving sales through consistent engagement and ownership
3. Managing and updating client interaction meetings via app","B2B Sales
Field Sales
Lead Generation
Sales
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics",NULL,NULL,"Annual CTC: ₹ 4,08,000 - 7,32,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,32,000 /year

2. Variable pay: ₹ 48,000 - 3,00,000 /year

Perks
Health Insurance
Life Insurance"
Sales & Business Development Executive,"Key responsibilities:

1. Conducting daily client calls and in-person meetings
2. Driving sales through consistent engagement and ownership
3. Managing and updating client interaction meetings via app","B2B Sales
Field Sales
Lead Generation
Sales
Sales Strategy
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics",NULL,NULL,"Annual CTC: ₹ 4,08,000 - 6,32,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,32,000 /year

2. Variable pay: ₹ 48,000 - 2,00,000 /year

Perks
Health Insurance
Life Insurance"
Sales Executive,"Key Responsibilities:

1. Conducting daily client calls and in-person meetings
2. Driving sales through consistent engagement and ownership
3. Managing and updating client interaction meetings via app","B2B Sales
Field Sales
Field Work
Lead Generation
Marketing Strategy
Sales
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience","1. SSC, HSC & graduation - minimum 60 % marks

2. Bike/DL and laptop are mandatory","Annual CTC: ₹ 4,00,000 - 6,32,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,32,000 /year

2. Variable pay: ₹ 40,000 - 2,00,000 /year

Perks
Health Insurance
Life Insurance"
